{'loss': 2.0911, 'grad_norm': 5.785200595855713, 'learning_rate': 9.920000000000002e-06, 'epoch': 0.04}
{'loss': 1.2667, 'grad_norm': 7.228593826293945, 'learning_rate': 5.600000000000001e-06, 'epoch': 2.2}
{'loss': 1.2343, 'grad_norm': 6.304991722106934, 'learning_rate': 5.5200000000000005e-06, 'epoch': 2.24}
{'loss': 1.2336, 'grad_norm': 5.836729526519775, 'learning_rate': 5.4400000000000004e-06, 'epoch': 2.28}
{'loss': 1.2287, 'grad_norm': 5.930023670196533, 'learning_rate': 5.36e-06, 'epoch': 2.32}
{'loss': 1.2329, 'grad_norm': 7.051709175109863, 'learning_rate': 5.28e-06, 'epoch': 2.36}
{'loss': 1.2644, 'grad_norm': 5.195097923278809, 'learning_rate': 5.2e-06, 'epoch': 2.4}
{'loss': 1.2343, 'grad_norm': 4.812397003173828, 'learning_rate': 5.12e-06, 'epoch': 2.44}
{'loss': 1.2415, 'grad_norm': 7.294610023498535, 'learning_rate': 5.04e-06, 'epoch': 2.48}
{'loss': 1.2156, 'grad_norm': 6.766539096832275, 'learning_rate': 4.960000000000001e-06, 'epoch': 2.52}
{'loss': 1.2829, 'grad_norm': 7.21762752532959, 'learning_rate': 4.880000000000001e-06, 'epoch': 2.56}
{'loss': 1.2609, 'grad_norm': 5.24227237701416, 'learning_rate': 4.800000000000001e-06, 'epoch': 2.6}
{'loss': 1.2523, 'grad_norm': 6.147790908813477, 'learning_rate': 4.7200000000000005e-06, 'epoch': 2.64}
{'loss': 1.2321, 'grad_norm': 5.521937847137451, 'learning_rate': 4.6400000000000005e-06, 'epoch': 2.68}
{'loss': 1.239, 'grad_norm': 10.362906455993652, 'learning_rate': 4.56e-06, 'epoch': 2.72}
{'loss': 1.2414, 'grad_norm': 6.603399276733398, 'learning_rate': 4.48e-06, 'epoch': 2.76}
{'loss': 1.2211, 'grad_norm': 7.9613237380981445, 'learning_rate': 4.4e-06, 'epoch': 2.8}
{'loss': 1.1843, 'grad_norm': 5.6390228271484375, 'learning_rate': 4.32e-06, 'epoch': 2.84}
{'loss': 1.2351, 'grad_norm': 5.652475833892822, 'learning_rate': 4.24e-06, 'epoch': 2.88}
{'loss': 1.2465, 'grad_norm': 7.611330509185791, 'learning_rate': 4.16e-06, 'epoch': 2.92}
{'loss': 1.2453, 'grad_norm': 5.6891093254089355, 'learning_rate': 4.08e-06, 'epoch': 2.96}
{'loss': 1.2173, 'grad_norm': 5.021235466003418, 'learning_rate': 4.000000000000001e-06, 'epoch': 3.0}
{'eval_loss': 1.4023678302764893, 'eval_bleu': 29.1211, 'eval_gen_len': 12.52, 'eval_meteor': 0.5423, 'eval_runtime': 11.5183, 'eval_samples_per_second': 17.364, 'eval_steps_per_second': 2.17, 'epoch': 3.0}
{'loss': 1.1068, 'grad_norm': 6.582466125488281, 'learning_rate': 3.920000000000001e-06, 'epoch': 3.04}
{'loss': 1.1125, 'grad_norm': 6.2479448318481445, 'learning_rate': 3.8400000000000005e-06, 'epoch': 3.08}
{'loss': 1.1127, 'grad_norm': 5.382486343383789, 'learning_rate': 3.7600000000000004e-06, 'epoch': 3.12}
{'loss': 1.1013, 'grad_norm': 7.1078081130981445, 'learning_rate': 3.6800000000000003e-06, 'epoch': 3.16}
{'loss': 1.0759, 'grad_norm': 6.109019756317139, 'learning_rate': 3.6000000000000003e-06, 'epoch': 3.2}
{'loss': 1.106, 'grad_norm': 4.607779502868652, 'learning_rate': 3.52e-06, 'epoch': 3.24}
{'loss': 1.0755, 'grad_norm': 10.638628959655762, 'learning_rate': 3.44e-06, 'epoch': 3.28}
{'loss': 1.1251, 'grad_norm': 5.899642467498779, 'learning_rate': 3.3600000000000004e-06, 'epoch': 3.32}
{'loss': 1.1512, 'grad_norm': 7.923582553863525, 'learning_rate': 3.2800000000000004e-06, 'epoch': 3.36}
{'loss': 1.1147, 'grad_norm': 8.2835111618042, 'learning_rate': 3.2000000000000003e-06, 'epoch': 3.4}
{'loss': 1.0982, 'grad_norm': 6.067707538604736, 'learning_rate': 3.12e-06, 'epoch': 3.44}
{'loss': 1.1525, 'grad_norm': 6.423046112060547, 'learning_rate': 3.04e-06, 'epoch': 3.48}
{'loss': 1.1358, 'grad_norm': 8.566346168518066, 'learning_rate': 2.96e-06, 'epoch': 3.52}
{'loss': 1.0942, 'grad_norm': 8.372005462646484, 'learning_rate': 2.88e-06, 'epoch': 3.56}
{'loss': 1.1107, 'grad_norm': 5.396286487579346, 'learning_rate': 2.8000000000000003e-06, 'epoch': 3.6}
{'loss': 1.1001, 'grad_norm': 5.9697957038879395, 'learning_rate': 2.7200000000000002e-06, 'epoch': 3.64}
{'loss': 1.1364, 'grad_norm': 5.1328959465026855, 'learning_rate': 2.64e-06, 'epoch': 3.68}
{'loss': 1.1071, 'grad_norm': 4.978933334350586, 'learning_rate': 2.56e-06, 'epoch': 3.72}
{'loss': 1.1224, 'grad_norm': 7.10433292388916, 'learning_rate': 2.4800000000000004e-06, 'epoch': 3.76}
{'loss': 1.1042, 'grad_norm': 6.538266181945801, 'learning_rate': 2.4000000000000003e-06, 'epoch': 3.8}
{'loss': 1.1141, 'grad_norm': 5.645888328552246, 'learning_rate': 2.3200000000000002e-06, 'epoch': 3.84}
{'loss': 1.1071, 'grad_norm': 4.613071918487549, 'learning_rate': 2.24e-06, 'epoch': 3.88}
{'loss': 1.1002, 'grad_norm': 5.135624408721924, 'learning_rate': 2.16e-06, 'epoch': 3.92}
{'loss': 1.116, 'grad_norm': 4.900123119354248, 'learning_rate': 2.08e-06, 'epoch': 3.96}
{'loss': 1.1122, 'grad_norm': 6.13119649887085, 'learning_rate': 2.0000000000000003e-06, 'epoch': 4.0}
{'eval_loss': 1.4347739219665527, 'eval_bleu': 31.0641, 'eval_gen_len': 12.315, 'eval_meteor': 0.5513, 'eval_runtime': 9.7, 'eval_samples_per_second': 20.619, 'eval_steps_per_second': 2.577, 'epoch': 4.0}
{'loss': 1.0241, 'grad_norm': 7.391202926635742, 'learning_rate': 1.9200000000000003e-06, 'epoch': 4.04}
{'loss': 1.0172, 'grad_norm': 8.899674415588379, 'learning_rate': 1.8400000000000002e-06, 'epoch': 4.08}
{'loss': 1.0125, 'grad_norm': 5.948193550109863, 'learning_rate': 1.76e-06, 'epoch': 4.12}
{'loss': 1.0156, 'grad_norm': 5.218430042266846, 'learning_rate': 1.6800000000000002e-06, 'epoch': 4.16}
{'loss': 1.0521, 'grad_norm': 6.414409637451172, 'learning_rate': 1.6000000000000001e-06, 'epoch': 4.2}
{'loss': 1.0142, 'grad_norm': 7.25091552734375, 'learning_rate': 1.52e-06, 'epoch': 4.24}
{'loss': 1.0319, 'grad_norm': 7.305124759674072, 'learning_rate': 1.44e-06, 'epoch': 4.28}
{'loss': 1.0228, 'grad_norm': 5.558824062347412, 'learning_rate': 1.3600000000000001e-06, 'epoch': 4.32}
{'loss': 1.0179, 'grad_norm': 4.7839508056640625, 'learning_rate': 1.28e-06, 'epoch': 4.36}
{'loss': 1.0109, 'grad_norm': 8.576543807983398, 'learning_rate': 1.2000000000000002e-06, 'epoch': 4.4}
{'loss': 1.0049, 'grad_norm': 6.895087718963623, 'learning_rate': 1.12e-06, 'epoch': 4.44}
{'loss': 1.0249, 'grad_norm': 7.541550636291504, 'learning_rate': 1.04e-06, 'epoch': 4.48}
{'loss': 1.0481, 'grad_norm': 6.233947277069092, 'learning_rate': 9.600000000000001e-07, 'epoch': 4.52}
{'loss': 1.0538, 'grad_norm': 6.016066551208496, 'learning_rate': 8.8e-07, 'epoch': 4.56}
{'loss': 1.038, 'grad_norm': 7.650704383850098, 'learning_rate': 8.000000000000001e-07, 'epoch': 4.6}
{'loss': 1.0153, 'grad_norm': 7.195834636688232, 'learning_rate': 7.2e-07, 'epoch': 4.64}
{'loss': 1.0376, 'grad_norm': 9.190327644348145, 'learning_rate': 6.4e-07, 'epoch': 4.68}
{'loss': 1.0458, 'grad_norm': 7.655123233795166, 'learning_rate': 5.6e-07, 'epoch': 4.72}
{'loss': 1.0574, 'grad_norm': 6.2976508140563965, 'learning_rate': 4.800000000000001e-07, 'epoch': 4.76}
{'loss': 1.0409, 'grad_norm': 7.577490329742432, 'learning_rate': 4.0000000000000003e-07, 'epoch': 4.8}
{'loss': 0.9866, 'grad_norm': 6.318379878997803, 'learning_rate': 3.2e-07, 'epoch': 4.84}
{'loss': 1.0563, 'grad_norm': 6.711854934692383, 'learning_rate': 2.4000000000000003e-07, 'epoch': 4.88}
{'loss': 1.0355, 'grad_norm': 7.092369556427002, 'learning_rate': 1.6e-07, 'epoch': 4.92}
{'loss': 1.031, 'grad_norm': 5.19961404800415, 'learning_rate': 8e-08, 'epoch': 4.96}
{'loss': 1.0378, 'grad_norm': 7.40623664855957, 'learning_rate': 0.0, 'epoch': 5.0}
{'eval_loss': 1.4611365795135498, 'eval_bleu': 30.8192, 'eval_gen_len': 12.38, 'eval_meteor': 0.5431, 'eval_runtime': 11.4011, 'eval_samples_per_second': 17.542, 'eval_steps_per_second': 2.193, 'epoch': 5.0}
{'train_runtime': 20884.4541, 'train_samples_per_second': 23.941, 'train_steps_per_second': 2.993, 'train_loss': 1.3045448422851562, 'epoch': 5.0}
TrainOutput(global_step=62500, training_loss=1.3045448422851562, metrics={'train_runtime': 20884.4541, 'train_samples_per_second': 23.941, 'train_steps_per_second': 2.993, 'total_flos': 2.476985304927437e+16, 'train_loss': 1.3045448422851562, 'epoch': 5.0})
